AccountOriginID,TransactionCount,TotalTransactionValue,AverageTransactionValue,MaximumTransactionValue,Frequency_Z,Value_Z,AverageSize_Z,Frequency_Flag,Value_Flag,AverageSize_Flag,AnomalyScore,AnomalyCategory
200000,32,76542.18,2391.943125,4930.54,0.33310623712832843,0.08418129275968467,-0.4099057548212562,0,0,0,0,Normal
200001,26,67176.4,2583.707692307692,4996.02,-0.6572150068672356,-0.45467708503758936,0.29981935587667596,0,0,0,0,Normal
200002,57,135649.45,2379.814912280702,4971.15,4.459444753776512,3.4849068733547335,-0.4547925513531736,1,1,0,2,Moderate Anomaly Signal
200003,16,36827.59,2301.724375,4898.99,-2.3077504135265086,-2.2007901183009895,-0.7438074407778704,0,0,0,0,Normal
200004,25,61797.979999999996,2471.9192,4927.94,-0.8222685475331628,-0.7641234607065047,-0.11391244657111262,0,0,0,0,Normal
200005,31,77357.81,2495.4132258064515,4749.34,0.1680526964624011,0.13110841027502168,-0.026960512226174252,0,0,0,0,Normal
200006,31,81556.48,2630.854193548387,4965.88,0.1680526964624011,0.37267809321718776,0.4743096503135152,0,0,0,0,Normal
200007,27,53507.77,1981.7692592592591,4221.67,-0.4921614662013082,-1.2410991223383965,-1.9279687440133615,0,0,0,0,Normal
200008,35,83428.53,2383.672285714286,4901.82,0.8282668591261104,0.4803861352761928,-0.44051632282154524,0,0,0,0,Normal
200009,28,76339.5,2726.410714285714,4993.52,-0.3271079255353809,0.0725201373607806,0.8279665495538816,0,0,0,0,Normal
200010,22,60158.57,2734.4804545454544,4850.11,-1.3174291695309448,-0.858446604443025,0.8578328453954802,0,0,0,0,Normal
200011,29,72362.07,2495.2437931034483,4842.59,-0.16205438486945356,-0.15632054409898125,-0.027587586589196834,0,0,0,0,Normal
200012,34,73306.04,2156.06,4750.46,0.663213318460183,-0.1020094089997919,-1.2829146706643013,0,0,0,0,Normal
200013,32,75829.24,2369.66375,4903.12,0.33310623712832843,0.0431624249380209,-0.49236223836330834,0,0,0,0,Normal
200014,36,87685.47,2435.7075,4824.98,0.9933203997920377,0.7253083716281389,-0.24793278803400226,0,0,0,0,Normal
200015,23,59013.24,2565.7930434782606,4934.73,-1.1523756288650175,-0.9243429489912157,0.23351682511153213,0,0,0,0,Normal
200016,32,99833.66,3119.801875,4994.48,0.33310623712832843,1.4242521816015814,2.28391635824586,0,0,1,1,Low Anomaly Signal
200017,23,46504.42,2021.931304347826,4436.94,-1.1523756288650175,-1.644035537687309,-1.7793280837677026,0,0,0,0,Normal
200018,30,75726.41,2524.213666666667,4505.69,0.002999155796473763,0.03724612037087383,0.07963058729049748,0,0,0,0,Normal
200019,26,56324.479999999996,2166.326153846154,4536.58,-0.6572150068672356,-1.0790402461609334,-1.2449193972037318,0,0,0,0,Normal
200020,33,77542.18,2349.76303030303,4826.21,0.49815977779425574,0.14171610329305978,-0.5660152634669405,0,0,0,0,Normal
