AccountID,CustomerID,CustomerType,TotalLoanExposure,OverdueLoanExposure,AverageInterestRate,TransactionCount,TotalTransactionValue,AverageTransactionValue,AnomalyScore,AnomalyCategory
200002,10839,Large Enterprise,42380.44,0.0,0.0809,57,135649.45,2379.814912280702,2,Moderate Anomaly Signal
200003,10765,Individual,57741.55,0.0,0.0734,16,36827.59,2301.724375,0,Normal
200005,11007,Large Enterprise,27208.83,0.0,0.0873,31,77357.81,2495.4132258064515,0,Normal
200007,10219,Small Business,76160.97,0.0,0.1143,27,53507.77,1981.7692592592591,0,Normal
200012,10253,Large Enterprise,88591.01,0.0,0.0846,34,73306.04,2156.06,0,Normal
200017,10565,Large Enterprise,118022.65,0.0,0.10944999999999999,23,46504.42,2021.931304347826,0,Normal
200029,11078,Small Business,20092.86,0.0,0.0636,38,91807.4,2415.9842105263156,0,Normal
200042,11000,Small Business,74135.38,0.0,0.1104,28,73686.44,2631.6585714285716,0,Normal
200047,10656,Individual,80385.21,0.0,0.0313,30,65567.66,2185.588666666667,0,Normal
200050,11015,Individual,54953.1,0.0,0.0674,38,89064.31,2343.7976315789474,0,Normal
200056,11046,Small Business,44357.85,0.0,0.08235,19,42908.21,2258.326842105263,0,Normal
200063,10760,Small Business,89209.9,89209.9,0.0429,34,87203.17,2564.7991176470587,0,Normal
200070,10632,Large Enterprise,9191.43,0.0,0.0999,28,66900.24,2389.2942857142857,0,Normal
200075,10390,Large Enterprise,56132.45,0.0,0.0604,37,91932.92,2484.6735135135136,0,Normal
200078,10818,Large Enterprise,27406.57,0.0,0.0415,31,72793.84,2348.188387096774,0,Normal
200087,10540,Small Business,87988.21,0.0,0.0612,34,74937.73,2204.0508823529412,0,Normal
200101,10501,Individual,89648.09,0.0,0.1181,33,96820.01000000001,2933.9396969696973,0,Normal
200103,10289,Large Enterprise,77709.06,0.0,0.0593,25,62385.15,2495.406,0,Normal
200106,10010,Large Enterprise,28448.65,0.0,0.0301,29,62821.93,2166.273448275862,0,Normal
200107,10199,Individual,42758.63,0.0,0.1214,31,77575.76,2502.443870967742,0,Normal
200111,10399,Individual,44265.25,0.0,0.1135,37,80815.78,2184.21027027027,0,Normal
200113,11008,Large Enterprise,37599.36,0.0,0.1106,27,72147.52,2672.1303703703707,0,Normal
200116,10349,Large Enterprise,43125.92,0.0,0.0992,39,102566.97,2629.9223076923076,0,Normal
200119,10423,Large Enterprise,158957.32,0.0,0.08055000000000001,37,81667.97,2207.2424324324325,0,Normal
200120,10708,Individual,21375.07,0.0,0.1136,34,79758.2,2345.8294117647056,0,Normal
200123,10746,Large Enterprise,63515.6,63515.6,0.0754,26,68670.79,2641.1842307692305,0,Normal
200126,10500,Small Business,24768.37,0.0,0.0979,27,74308.02,2752.148888888889,0,Normal
200139,10198,Small Business,63720.18,63720.18,0.0837,25,65220.229999999996,2608.8091999999997,0,Normal
200146,10127,Individual,20910.17,0.0,0.1064,32,81351.78,2542.243125,0,Normal
200148,10680,Individual,19627.15,0.0,0.0864,30,62867.83,2095.5943333333335,0,Normal
200157,11020,Large Enterprise,47661.39,0.0,0.0686,26,75941.74,2920.836153846154,0,Normal
200160,10263,Individual,49796.21,0.0,0.0653,25,58957.63,2358.3052,0,Normal
200161,10666,Large Enterprise,98089.6,0.0,0.0583,32,76722.93,2397.5915625,0,Normal
200172,10081,Large Enterprise,98129.49,0.0,0.0759,24,55768.49,2323.6870833333332,0,Normal
200177,10336,Small Business,10195.48,0.0,0.0953,43,102025.36,2372.6827906976746,1,Low Anomaly Signal
200178,10925,Small Business,37183.71,37183.71,0.1208,35,81029.15,2315.118571428571,0,Normal
200179,11019,Small Business,95795.36,0.0,0.1271,32,85812.92,2681.65375,0,Normal
