CustomerID,CustomerType,AccountCount,TotalBalance,AverageBalance,TransactionCount,TotalTransactionValue,AverageTransactionValue,Cluster,Cluster_3,CustomerSegment
10000,Small Business,1.0,54403.26,54403.26,36.0,81668.04,2268.5566666666664,2,0,Core Active
10001,Small Business,1.0,20267.12,20267.12,34.0,79482.17,2337.710882352941,0,0,Core Active
10002,Individual,4.0,266582.75,66645.6875,124.0,323445.22,2608.429193548387,3,2,High-Value Active
10003,Large Enterprise,1.0,34279.17,34279.17,32.0,93491.58,2921.611875,0,0,Core Active
10004,Small Business,2.0,87029.08,43514.54,58.0,160128.79,2760.8412068965517,2,0,Core Active
10005,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10006,Large Enterprise,3.0,162691.56,54230.52,76.0,208451.1,2742.7776315789474,3,2,High-Value Active
10007,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10008,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10009,Small Business,2.0,156569.6,78284.8,76.0,191741.19,2522.910394736842,2,2,High-Value Active
10010,Large Enterprise,3.0,122810.14,40936.71333333333,91.0,218502.07,2401.121648351648,3,2,High-Value Active
10011,Small Business,1.0,65697.87,65697.87,40.0,100067.20999999999,2501.68025,2,0,Core Active
10012,Small Business,1.0,1278.55,1278.55,28.0,70462.8,2516.5285714285715,0,0,Core Active
10013,Large Enterprise,1.0,74732.41,74732.41,33.0,85010.52,2576.0763636363636,2,0,Core Active
10014,Large Enterprise,1.0,83513.23,83513.23,32.0,89288.62,2790.269375,2,0,Core Active
10015,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10016,Individual,1.0,82326.71,82326.71,39.0,81924.36,2100.6246153846155,2,0,Core Active
10017,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10018,Individual,1.0,1818.33,1818.33,34.0,78408.48,2306.1317647058822,0,0,Core Active
10019,Large Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10020,Small Business,3.0,133576.82,44525.60666666667,73.0,166751.58000000002,2284.2682191780823,3,2,High-Value Active
10021,Large Enterprise,1.0,18192.08,18192.08,30.0,79538.76,2651.292,0,0,Core Active
10022,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10023,Small Business,4.0,144870.91,36217.7275,126.0,308799.63,2450.7907142857143,3,2,High-Value Active
10024,Large Enterprise,3.0,72439.01000000001,24146.33666666667,96.0,232862.18,2425.6477083333334,3,2,High-Value Active
10025,Small Business,1.0,11829.41,11829.41,26.0,48248.51,1855.711923076923,0,0,Core Active
10026,Small Business,1.0,51455.37,51455.37,34.0,98713.46,2903.33705882353,0,0,Core Active
10027,Individual,2.0,151987.75,75993.875,60.0,142877.43,2381.2905,2,0,Core Active
10028,Large Enterprise,1.0,78312.0,78312.0,33.0,98457.59,2983.563333333333,2,0,Core Active
10029,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10030,Large Enterprise,2.0,119335.76000000001,59667.880000000005,61.0,163964.77,2687.9470491803277,2,0,Core Active
10031,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10032,Individual,1.0,1898.32,1898.32,39.0,87805.56999999999,2251.4248717948717,0,0,Core Active
10033,Individual,1.0,92935.51,92935.51,25.0,63207.36,2528.2944,2,0,Core Active
10034,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10035,Large Enterprise,4.0,276684.53,69171.1325,166.0,422808.59,2547.039698795181,3,2,High-Value Active
10036,Large Enterprise,2.0,52966.75,26483.375,70.0,168209.34,2402.9905714285715,0,0,Core Active
10037,Individual,2.0,55059.95,27529.975,63.0,144523.07,2294.0169841269844,0,0,Core Active
10038,Small Business,1.0,13231.48,13231.48,25.0,60250.32,2410.0128,0,0,Core Active
10039,Large Enterprise,2.0,89259.07,44629.535,60.0,113869.74,1897.8290000000002,2,0,Core Active
10040,Individual,1.0,8485.52,8485.52,26.0,51119.3,1966.1269230769233,0,0,Core Active
10041,Large Enterprise,1.0,30914.75,30914.75,29.0,78228.09,2697.520344827586,0,0,Core Active
10042,Small Business,1.0,88473.99,88473.99,28.0,52082.32,1860.0828571428572,2,0,Core Active
10043,Large Enterprise,2.0,169216.84,84608.42,57.0,125651.09,2204.405087719298,2,0,Core Active
10044,Large Enterprise,1.0,10177.2,10177.2,29.0,70641.55,2435.9155172413793,0,0,Core Active
10045,Individual,3.0,153375.39,51125.130000000005,88.0,220153.56,2501.745,3,2,High-Value Active
10046,Individual,2.0,74860.48999999999,37430.244999999995,61.0,148696.97,2437.6552459016393,0,0,Core Active
10047,Individual,2.0,114101.94,57050.97,62.0,169087.96,2727.2251612903224,2,0,Core Active
10048,Small Business,3.0,103798.12,34599.37333333333,101.0,247737.2,2452.8435643564358,3,2,High-Value Active
10049,Individual,1.0,80075.41,80075.41,28.0,84494.37,3017.656071428571,2,0,Core Active
10050,Small Business,2.0,43874.98,21937.49,58.0,150436.71,2593.7363793103445,0,0,Core Active
10051,Small Business,1.0,52774.42,52774.42,21.0,67068.76,3193.750476190476,0,0,Core Active
10052,Large Enterprise,1.0,30095.9,30095.9,21.0,58535.75,2787.4166666666665,0,0,Core Active
10053,Large Enterprise,2.0,143937.62,71968.81,77.0,201344.72,2614.8664935064935,2,2,High-Value Active
10054,Large Enterprise,1.0,42064.37,42064.37,28.0,72197.19,2578.4710714285716,0,0,Core Active
10055,Individual,1.0,46463.91,46463.91,25.0,64653.229999999996,2586.1292,0,0,Core Active
10056,Small Business,3.0,134337.81,44779.27,66.0,163556.15,2478.1234848484846,3,2,High-Value Active
10057,Large Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10058,Individual,3.0,140239.97999999998,46746.659999999996,91.0,235959.62,2592.962857142857,3,2,High-Value Active
10059,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10060,Large Enterprise,2.0,102100.33,51050.165,66.0,168150.51,2547.735,2,0,Core Active
10061,Individual,3.0,157374.59,52458.19666666666,91.0,222801.95,2448.373076923077,3,2,High-Value Active
10062,Small Business,2.0,50299.19,25149.595,65.0,158962.95,2445.5838461538465,0,0,Core Active
10063,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10064,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10065,Large Enterprise,1.0,86936.53,86936.53,29.0,60110.09,2072.7617241379307,2,0,Core Active
10066,Small Business,3.0,72568.26,24189.42,82.0,193933.62,2365.044146341463,3,2,High-Value Active
10067,Small Business,2.0,95769.81,47884.905,60.0,148338.9,2472.315,2,0,Core Active
10068,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10069,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10070,Individual,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10071,Individual,4.0,126762.04999999999,31690.512499999997,109.0,281944.92,2586.6506422018347,3,2,High-Value Active
10072,Large Enterprise,5.0,349192.47,69838.49399999999,143.0,341451.34,2387.7716083916084,3,2,High-Value Active
10073,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10074,Large Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10075,Large Enterprise,3.0,117277.82999999999,39092.60999999999,93.0,223379.41,2401.929139784946,3,2,High-Value Active
10076,Large Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10077,Small Business,1.0,35001.41,35001.41,30.0,90655.3,3021.8433333333332,0,0,Core Active
10078,Individual,1.0,35753.88,35753.88,28.0,69584.82,2485.172142857143,0,0,Core Active
10079,Small Business,1.0,84232.06,84232.06,30.0,78443.38,2614.7793333333334,2,0,Core Active
10080,Large Enterprise,1.0,39998.22,39998.22,25.0,61267.24,2450.6895999999997,0,0,Core Active
10081,Large Enterprise,1.0,8550.22,8550.22,24.0,55768.49,2323.6870833333332,0,0,Core Active
10082,Small Business,1.0,25320.55,25320.55,26.0,72984.03,2807.078076923077,0,0,Core Active
10083,Individual,2.0,127593.29000000001,63796.645000000004,51.0,128439.76,2518.4266666666667,2,0,Core Active
10084,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
10085,Small Business,0.0,0.0,0.0,0.0,0.0,0.0,1,1,No Financial Relationship
