LoanID,AccountID,LoanStatusID,PrincipalAmount,InterestRate,StartDate,EstimatedEndDate,StartDateKey,EndDateKey,LoanStatus,CustomerID,CustomerType,AccountOriginID,TransactionCount,TotalTransactionValue,AverageTransactionValue,AnomalyScore,AnomalyCategory
400000,201241,3,52255.85,0.1283,2021-04-05,2022-08-16,20210405.0,20220816.0,Overdue,10184,Small Business,201241,36,87495.83,2430.4397222222224,0,Normal
400001,201103,1,63899.0,0.0793,2021-04-10,2025-02-10,20210410.0,20250210.0,Active,10333,Large Enterprise,201103,35,92264.55,2636.13,0,Normal
400002,201563,1,22288.38,0.0969,2021-05-19,2024-05-07,20210519.0,20240507.0,Active,10586,Small Business,201563,26,65062.729999999996,2502.412692307692,0,Normal
400003,200512,1,15797.11,0.0636,2021-10-30,2025-01-21,20211030.0,20250121.0,Active,10972,Large Enterprise,200512,29,70960.08,2446.8993103448274,0,Normal
400004,201107,1,37284.69,0.0718,2021-03-25,2023-02-11,20210325.0,20230211.0,Active,10806,Small Business,201107,30,85348.41,2844.947,0,Normal
400005,200353,3,65948.85,0.072,2021-07-17,2023-10-21,20210717.0,20231021.0,Overdue,10502,Individual,200353,33,84424.0,2558.3030303030305,0,Normal
400006,200822,2,28952.23,0.0345,2021-12-29,2025-12-17,20211229.0,20251217.0,Paid Off,11015,Individual,200822,26,67045.14,2578.659230769231,0,Normal
400007,200255,2,64001.15,0.0792,2022-12-05,2027-04-03,20221205.0,20270403.0,Paid Off,10122,Large Enterprise,200255,26,67434.3,2593.626923076923,0,Normal
400008,200379,1,47534.75,0.1395,2021-05-20,2025-09-10,20210520.0,20250910.0,Active,10460,Individual,200379,28,81368.78,2906.027857142857,0,Normal
400009,201103,1,82121.58,0.0766,2022-11-02,2025-04-16,20221102.0,20250416.0,Active,10333,Large Enterprise,201103,35,92264.55,2636.13,0,Normal
400010,200002,1,42380.44,0.0809,2022-05-04,2025-01-24,20220504.0,20250124.0,Active,10839,Large Enterprise,200002,57,135649.45,2379.814912280702,2,Moderate Anomaly Signal
400011,200467,1,51864.56,0.0402,2021-08-19,2024-01-09,20210819.0,20240109.0,Active,10992,Individual,200467,28,76670.26,2738.223571428571,0,Normal
400012,201356,2,27964.95,0.0722,2021-05-04,2022-08-21,20210504.0,20220821.0,Paid Off,11004,Individual,201356,32,83356.37,2604.8865625,0,Normal
400013,201406,1,34767.61,0.0561,2023-01-28,2028-01-12,20230128.0,20280112.0,Active,10906,Large Enterprise,201406,46,114931.0,2498.5,2,Moderate Anomaly Signal
400014,200029,1,20092.86,0.0636,2021-07-30,2026-03-22,20210730.0,20260322.0,Active,11078,Small Business,200029,38,91807.4,2415.9842105263156,0,Normal
400015,200229,1,26300.12,0.0902,2021-12-28,2026-08-31,20211228.0,20260831.0,Active,10226,Small Business,200229,25,69841.62,2793.6648,0,Normal
400016,200225,1,81786.64,0.136,2022-06-01,2026-01-09,20220601.0,20260109.0,Active,10458,Small Business,200225,28,67948.48,2426.7314285714283,0,Normal
400017,201263,1,62585.34,0.1008,2021-01-29,2023-10-20,20210129.0,20231020.0,Active,10561,Large Enterprise,201263,31,74329.83,2397.7364516129032,0,Normal
